,Source,Target,no_da,ddc_mmd,jan,dan,coral
0,Caltech,amazon,   0.925,0.925,0.934,0.929,0.928
1,Caltech,webcam,   0.748,0.749,0.85,0.866,0.843
2,Caltech,dslr,     0.749,0.748,0.83,0.826,0.781
3,amazon,Caltech,0.853,0.849,0.841,0.841,0.8
4,amazon,webcam,0.651,0.652,0.855,0.845,0.843
5,amazon,dslr,0.78,0.758,0.833,0.854,0.656
6,webcam,Caltech,0.709,0.698,0.784,0.786,0.608
7,webcam,amazon,0.8,0.776,0.845,0.834,0.736
8,webcam,dslr,0.988,0.988,0.997,0.995,0.994
9,dslr,Caltech,0.773,0.778,0.796,0.781,0.665
10,dslr,amazon,0.828,0.823,0.844,0.851,0.774
11,dslr,webcam,0.99,0.988,0.987,0.986,0.99
mean,,,0.816,0.811,0.866,0.866,0.801